claim_id	claim_text	evidence_snippet	target_search_query	target_url	target_url_clean
045_013	Sir Ian Cheshire, 61, the former boss of Kingfisher and chairman of Barclays Bank UK and at present the chairman of Spire Healthcare, the private hospitals business, publicly put himself forward for the position this year.	Sir Ian Michael Cheshire (born 6 August 1959) is a British businessman, and chairman of Barclays UK, the ring-fenced UK subsidiary of Barclays.	sir ian cheshire barclays chairman	https://en.wikipedia.org/wiki/ian_cheshire_(businessman)	en.wikipedia.org/wiki/ian_cheshire_(businessman)
024_001	Graham Hoare, 55, who recently stepped down as chairman of Ford UK, also believes the COP26 climate change conference in Glasgow this November could be the catalyst and showcase for Britain’s nascent zero-emissions automotive industry.	Former Ford of Britain chairman Graham Hoare has been appointed president of global operations by lithium-ion battery cell technology investor Britishvolt.	graham hoare ford	https://www.fleetnews.co.uk/news/people-news/2021/05/20/britishvolt-appoints-former-ford-chairman-graham-hoare-as-president	fleetnews.co.uk/news/people-news/2021/05/20/britishvolt-appoints-former-ford-chairman-graham-hoare-as-president
024_015	He believes Britishvolt’s green credentials using energy from North Sea windfarms and hydroelectricity coming down the Norwegian interconnector which lands close to Blyth will also be crucial for car manufacturers who may not want their battery cells produced using power from the coalfields of central Europe.	The North Sea Link is a 1,400 MW subsea high-voltage direct current electricity cable between Norway and the United Kingdom	norwegian interconnector	https://en.wikipedia.org/wiki/north_sea_link	en.wikipedia.org/wiki/north_sea_link
003_002	It plans to construct a refinery on a 19-hectare plot at the Wilton International industrial site near Middlesbrough It said yesterday that it had exercised a £1.86 million option for a long-term lease to develop the site.	Peak Resources has served notice to exercise its option for a 250-year lease from Homes England over a 19-hectare parcel of land within the Wilton International Site located near the town of Middlesbrough.	peak resources 19 hectare	https://www.miningreview.com/speciality-minerals/peak-resources-secures-land-for-its-teesside-refinery	miningreview.com/speciality-minerals/peak-resources-secures-land-for-its-teesside-refinery
003_003	The company said that the plan should create 130 jobs and could enable it to become a leading producer of rare earths outside China, which dominates the sector.	Plans to build a multi-million pound rare earth refinery on Teesside that will create 130 jobs in the region have taken a major step forward.	peak resources 130 jobs	https://www.business-live.co.uk/manufacturing/130-jobs-peak-earth-refinery-20697740	business-live.co.uk/manufacturing/130-jobs-peak-earth-refinery-20697740
003_005	Peak Resources said that the 250-year lease for the Teesside site had been agreed with Homes England at a nominal rent and that it had all the planning and environmental approvals needed to build the refinery.	Peak Resources has served notice to exercise its option for a 250-year lease from Homes England over a 19-hectare parcel of land within the Wilton International Site located near the town of Middlesbrough.	peak resources 250-year lease teeside	https://www.miningreview.com/speciality-minerals/peak-resources-secures-land-for-its-teesside-refinery/	miningreview.com/speciality-minerals/peak-resources-secures-land-for-its-teesside-refinery
003_010	Bardin Davis, 46, Peak’s managing director, said: “The Teesside location provides a major competitive advantage with its ‘plug and play’ infrastructure, skilled labour force and proximity to potential customers, while its freeport status provides tangible tax and other benefits.”	Presently, Bardin John Davis is Chief Executive Officer, MD & Director at Peak Resources Ltd. and Chief Executive Officer & Director at UAC Energy Holdings Pty Ltd.	bardin davis peak resources	https://www.marketscreener.com/business-leaders/bardin-john-davis-0mf7pv-e/biography	marketscreener.com/business-leaders/bardin-john-davis-0mf7pv-e/biography
046_004	The new assets will be developed and operated through its 50-50 joint venture with Lightsource BP.	The assets will be developed through bp’s 50-50 solar joint venture Lightsource bp, a global leader in solar energy, applying Lightsource bp’s capabilities to accelerate bp’s renewables targets.	peak resources lightsource bp 50-50 joint venture	https://www.bp.com/en/global/corporate/news-and-insights/press-releases/lightsource-bp-to-accelerate-global-solar-growth-with-further-investment-from-bp.html	bp.com/en/global/corporate/news-and-insights/press-releases/lightsource-bp-to-accelerate-global-solar-growth-with-further-investment-from-bp
046_005	The deal expands BP’s pipeline of renewable projects to 23 gigawatts.	The deal will also grow bp’s renewables pipeline from 14GW to 23GW. 	bp renewable pipelines	https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy.html	bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy
046_006	Under Bernard Looney , BP’s chief executive, the oil giant is pursuing a strategy to sharply reduce carbon emissions by 2050 by reducing oil output and growing its renewables business.	Bernard Looney (born 1970) is an Irish businessman and CEO of BP.	bernard looney bp chief executive	https://en.wikipedia.org/wiki/bernard_looney	en.wikipedia.org/wiki/bernard_looney
046_007	It is aiming to develop 50 gigawatts of renewable power capacity globally by 2030.	The acquisition represents a significant step towards bp’s target of growing its net developed renewable generating capacity to 20GW by 2025 and aim to increase this to 50GW by 2030.	bps renewable pipelines	https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy.html	bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy
046_008	The company expects to start developing about 2.2 gigawatts of the latest acquisition’s pipeline by 2025.	Assets with a combined generating capacity of 2.2GW are expected to reach final investment decision (FID) by 2025, with the remaining progressing by 2030.	bps renewable pipelines	https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy.html	bp.com/en/global/corporate/news-and-insights/press-releases/bp-boosts-its-renewables-business-in-the-us-with-9gw-solar-acquisition-from-7x-energy
047_016	Despite transport secretary Grant Shapps’s pledge in 2019 that “your postcode should play no part in how easy it is to use an electric car”, the pace of the rollout and regional disparities are causing consternation.	Grant Shapps (born 14 September 1968) is a British politician who has served as Secretary of State for Transport since 2019.	grant shapps transport secretary	https://en.wikipedia.org/wiki/grant_shapps	en.wikipedia.org/wiki/grant_shapps
047_019	“We really need to accelerate that [charging] rollout when we look at future demand,” said Andrew McCall, Ford’s head of government relations in Europe.	Andrew McCall is Vice President, Government and Community Relations, Ford of Europe and is a member of the Board of Directors for Ford of Europe, effective January 1, 2015.	Andrew McCall Ford head of government relations in Europe	https://media.ford.com/content/fordmedia/feu/en/people/andrew-mccall.html	media.ford.com/content/fordmedia/feu/en/people/andrew-mccall
047_022	Its chief executive, Mike Hawes, said: “We need incentives that tempt consumers, infrastructure that is robust and charging points that provide reassurance, so that zero-emission mobility will be possible for everyone, regardless of income or location.”	Mike Hawes became SMMT Chief Executive on 2 September 2013.	Mike Hawes chief executive	https://www.smmt.co.uk/about/structure/chief-executive-mike-hawes	smmt.co.uk/about/structure/chief-executive-mike-hawes
047_035	But hopes of meeting that demand appear to rest with offshore wind and one new nuclear power station, Hinkley Point C in Somerset.	Hinkley Point C nuclear power station (HPC) is a project to construct a 3,200 MWe nuclear power station with two EPR reactors in Somerset, England.	Hinkley Point C in Somerset	https://en.wikipedia.org/wiki/hinkley_point_c_nuclear_power_station	en.wikipedia.org/wiki/hinkley_point_c_nuclear_power_station
047_039	BP bought Chargemaster in 2018, acquiring 6,500 charging stations.	The £130 million purchase of Chargemaster by BP will see the company “enhance and accelerate” its deployment programme and triple its manufacturing capabilities over the next 12-18 months, according to the company’s director of strategy.	BP Chargemaster purchase	https://bpchargemaster.com/bp-to-acquire-the-uks-largest-electric-vehicle-charging-company	bpchargemaster.com/bp-to-acquire-the-uks-largest-electric-vehicle-charging-company
047_040	In January, Shell bought Ubitricity and its 2,700-plus charging points.	Shell has completed the acquisition of ubitricity, a leading European provider of on-street charging for electric vehicles (EVs)	Shell Ubitricity	https://www.shell.co.uk/media/2021-media-releases/shell-completes-acquisition-of-ubitricity.html	shell.co.uk/media/2021-media-releases/shell-completes-acquisition-of-ubitricity
047_041	InstaVolt has one of the biggest networks of rapid chargers, ranging in capacity from 50 kilowatts to 150kw.	All our rapid DC chargers are a minimum 50kW and can be upgraded to 350kW	Instavolt capacity	https://instavolt.co.uk/about-us/our-technology	instavolt.co.uk/about-us/our-technology
047_052	Among its investors is the government-backed, £400 million Charging Infrastructure Investment Fund.	The UK’s electric vehicle market has received a £390m boost from the government, with major incentives for businesses looking to install charge points.	Instavolt government investor	https://instavolt.co.uk/government-supercharges-electric-vehicle-market-with-390m-investment	instavolt.co.uk/government-supercharges-electric-vehicle-market-with-390m-investment
047_068	Last week, Ofgem announced a £300 million funding deal for upgrades to energy networks so that charging companies can fit devices without needing to pay for a better grid connection.	In a joint initiative with Electricity Network Company (ENC), Ofgem has released a £300 million funding boost for the UK's green infrastructure network.	Ofgem announced a £ 300 million funding deal	https://ofgem.gov.uk/publications/ofgem-delivers-ps300-million-down-payment-rewire-britain	ofgem.gov.uk/publications/ofgem-delivers-ps300-million-down-payment-rewire-britain
048_004	Citizen boasts seven million users, two million in New York, and some of them add to the panorama by posting videos and messages from the crime scene.	Four years since its launch, Citizen now has 7 million users.	citizen app number of users	https://digitaltrends.com/mobile/what-is-citizen-app	digitaltrends.com/mobile/what-is-citizen-app
048_007	Citizen was, in fact, called Vigilante when it launched in 2016, prompting a swift protest from the New York Police Department that “crime should be handled by the NYPD and not a vigilante with a cell phone”.	Developed by sp0n, Inc. and originally called Vigilante in 2016,[2] it was rebranded and launched in New York on March 8, 2017.	Citizen app	https://en.wikipedia.org/wiki/citizen_(app)	en.wikipedia.org/wiki/citizen_(app)
048_008	Apple barred it from its app store.	Within 48 hours of its App Store launch, Apple pulled the app due to safety concerns.	apple banned citizen app	https://www.engadget.com/citizen-015843746.html	engadget.com/citizen-015843746
048_011	Sarah Largeson, a sociologist at the Rutgers School of Criminal Justice, said users of the apps tend to mistrust the police and the media.	Dr. Sarah E. Lageson - Rutgers School of Criminal Justice	Sarah Largeson sociologist at the Rutgers School of Criminal Justice	https://rscj.newark.rutgers.edu/people/faculty/dr-sarah-e-lageson	rscj.newark.rutgers.edu/people/faculty/dr-sarah-e-lageson
004_014	Ricchetti got to know Biden in the early Nineties while serving as President Clinton’s liaison with the Senate.	In this role, Ricchetti was President Clinton's principal liaison to the Senate.	ricchetti clintion liaison with the senate	https://en.wikipedia.org/wiki/steve_ricchetti	en.wikipedia.org/wiki/steve_ricchetti
004_015	Reed, 61, as director of Clinton’s domestic policy council, helped Biden to draft and pass the 1994 Crime Bill.	During the Clinton presidency, Reed served as chief domestic policy advisor and director of the Domestic Policy Council.	reed director of clinton domestic policy council	https://en.wikipedia.org/wiki/bruce_reed_%28political_operative%29	en.wikipedia.org/wiki/bruce_reed_%28political_operative%29
004_018	It was Donilon whom Biden called first in 2017 after the Unite the Right white supremacist rally in Charlottesville, Virginia, reignited his presidential ambitions.	The Unite the Right rally was a white supremacist rally that took place in Charlottesville, Virginia, from August 11 to 12, 2017.	unite the right rally charlottesville	https://en.wikipedia.org/wiki/unite_the_right_rally	en.wikipedia.org/wiki/unite_the_right_rally
004_019	Donilon, as chief strategist of Biden’s presidential campaign, steered away from a bare knuckle fight with President Trump and counselled his boss to stay above the 24/7 news fray, insisting that “Twitter’s not the electorate”.	He was the chief strategist of Joe Biden's 2020 presidential campaign.	Donilon chief strategist of Biden’s presidential campaign	https://en.wikipedia.org/wiki/mike_donilon	en.wikipedia.org/wiki/mike_donilon
005_001	Bricks and stones were thrown at police and windows were broken as some 4,000 people protested against conditions on Bhasan Char island in the Bay of Bengal, which has been converted from sandbanks into a refugee centre in the face of objections from humanitarian organisations .	Bhasan Char (Bengali: ভাষাণচর), also known as Char Piya, is an island in Hatiya Upazila, Bangladesh.[1] Until 2019[2] it was known as Thengar Char.[1][3] It is located in the Bay of Bengal, about 6 kilometres (3.7 mi) from Sandwip island and 37 miles (60 km) from the mainland.	bhasan char bay of bengal	https://en.wikipedia.org/wiki/bhasan_char	en.wikipedia.org/wiki/bhasan_char
005_002	The demonstrations coincided with a visit by officials from the United Nations High Commissioner for Refugees (UNHCR) to assess conditions on the island, where 18,000 Rohingya from Myanmar have been relocated from camps on the mainland of Bangladesh.	Since December 2020, the Bangladesh government has moved nearly 20,000 Rohingya refugees to Bhasan Char, a remote silt island in the Bay of Bengal. 	18000 Rohingya from myanmar relocated to bhasan char	https://www.hrw.org/report/2021/06/07/island-jail-middle-sea/bangladeshs-relocation-rohingya-refugees-bhasan-char	hrw.org/report/2021/06/07/island-jail-middle-sea/bangladeshs-relocation-rohingya-refugees-bhasan-char
005_011	The 13,000-acre island, two hours by speedboat from the city of Chittagong, emerged some 15 years ago out of silt and sandbanks.	It spans 40 square kilometres (15 sq mi; 4,000 ha).	bhasan char size	https://en.wikipedia.org/wiki/bhasan_char	en.wikipedia.org/wiki/bhasan_char
005_013	Bangladesh faces a crisis in the form of some 750,000 Rohingya Muslims, who were murderously driven out of Myanmar in 2017, adding to hundreds of thousands who had previously fled during decades of persecution.	Two years ago, Bangladesh took in nearly 750,000 Muslim Rohingya refugees who had been driven out of Myanmar by a military crackdown. 	bangladesh rohingya 750000	https://www.rtof.org/bangladesh-does-about-face-on-rohingya/	rtof.org/bangladesh-does-about-face-on-rohingya
005_015	The first mass transportations of refugees to the island began in December.	Between December 2020 and January 2021 the first two groups totalling around 4,000 Rohingya had already been sent to the island.	bhasan char	https://en.wikipedia.org/wiki/Bhasan_Char	en.wikipedia.org/wiki/bhasan_char
005_016	The plan is to relocate 100,000 people there.	The process of moving Rohingya refugees will continue until 100,000 have arrived in the island, according to authorities. 	bhasan char	https://en.wikipedia.org/wiki/Bhasan_Char	en.wikipedia.org/wiki/bhasan_char
005_018	Police say that at least 49 Rohingya, including women and children, have been arrested while attempting to escape back to camps on the mainland.	The Bangladesh government says relocation to the island is voluntary, but police told AFP that at least 49 Rohingya have been arrested in recent weeks after trying to return to Cox’s Bazar.	49 rohingya arrested attempting to escape	https://rightscorridor.com/at-least-49-rohingya-muslims-arrested-while-trying-to-flee-myanmar	rightscorridor.com/at-least-49-rohingya-muslims-arrested-while-trying-to-flee-myanmar
005_020	Human Rights Watch reported in April that Bangladeshi security forces beat up at least a dozen refugees who were attempting to escape.	Bangladesh security forces on April 6, 2021 arrested and beat at least 12 refugees who were caught trying to leave the island, restricting their freedom of movement. 	Human Rights Watch reported in April that Bangladeshi security forces beat up at least a dozen refugees	https://www.hrw.org/news/2021/04/27/bangladesh-rohingya-refugees-allegedly-tortured	hrw.org/news/2021/04/27/bangladesh-rohingya-refugees-allegedly-tortured
025_002	This small village 200 miles south of Beijing is where, from May 1948 to March 1949, the Communist Party had its headquarters.	In Pingshan County, Hebei Province, Xibaipo is the location of the Central Committee of the Communist Party of China in the late liberation war and the headquarters of the Chinese people's Liberation Army.	xibaipo chinese communist headquarters	https://en.wikipedia.org/wiki/xibaipo	en.wikipedia.org/wiki/xibaipo
025_006	Across the country similar scenes are playing out this week, with President Xi urging the country’s 92 million party members to study its history and draw strength from it.	The CCP currently has 90.59 million members, making it the second largest political party in the world after India's Bharatiya Janata Party.	china communist party membership	https://en.wikipedia.org/wiki/chinese_communist_party	en.wikipedia.org/wiki/chinese_communist_party
025_011	They include a boat on a lake in the eastern city of Jiangxi where the party held its first congress in secret in 1921.	The founding National Congress of the CCP was held on 23–31 July 1921.	china communist party	https://en.wikipedia.org/wiki/chinese_communist_party	en.wikipedia.org/wiki/chinese_communist_party
025_012	To the south, scores of visitors are travelling to the mountains of Jinggangshan where the party established a base in 1927.	In October 1927, the Autumn Harvest Uprising troops led by Mao Zedong marched to Jinggangshan and set up the first revolutionary base there.	Jinggangshan where the party established a base in 1927.	http://www.china.org.cn/travel/travelogue/2008-01/02/content_1237735.htm	china.org.cn/travel/travelogue/2008-01/02/content_1237735
025_028	At the sites there is little mention of Mao’s Great Leap Forward of 1958, which resulted in a famine in which an estimated 45 million people starved to death.	The Great Leap Forward (Second Five Year Plan) of the People's Republic of China (PRC) was an economic and social campaign led by the Chinese Communist Party (CCP) from 1958 to 1962.	Great Leap Forward of 1958	https://en.wikipedia.org/wiki/great_leap_forward	en.wikipedia.org/wiki/great_leap_forward
025_032	Since he came into power in 2012 he has sought to elevate the party’s public profile by stressing its central role in every aspect of Chinese life.	Xi Jinping[note 2] (simplified Chinese: 习近平; traditional Chinese: 習近平; pinyin: Xí Jìnpíng, [ɕǐ tɕîn pʰǐŋ]; born 15 June 1953) is a Chinese politician who has served as General Secretary of the Chinese Communist Party (CCP) and Chairman of the Central Military Commission (CMC) since 2012, and President of the People's Republic of China (PRC) since 2013.	xi china	https://en.wikipedia.org/wiki/xi_jinping	en.wikipedia.org/wiki/xi_jinping
025_042	It was in Yanan where the political thoughts of Mao were enshrined in the party charter, and where his leadership was cemented during the seventh congress in 1945.	The 7th National Congress of the Chinese Communist Party was convened April 23 - June 11, 1945, in Yan'an.	china communist party 7th congress 1945	https://en.wikipedia.org/wiki/7th_national_congress_of_the_chinese_communist_party	en.wikipedia.org/wiki/7th_national_congress_of_the_chinese_communist_party
050_001	The body of Superintendent Henry Jemmott, 42, was found floating in the water in the coastal resort town of San Pedro in the central American nation on Friday morning with a single gunshot wound to his head .	Henry Jemmott was 42 years old.	henry jemmott age	https://wikibious.com/henry-jemmott	wikibious.com/henry-jemmott
050_004	Chester Williams, the Belize police commissioner, confirmed that Hartin had been alone with Jemmott.	Chester Williams (born 1973) is the Commissioner of Belize and highest police officer of the Belize Police Department	Chester Williams, the Belize police commissioner	https://en.wikipedia.org/wiki/chester_williams_(police_officer)	en.wikipedia.org/wiki/chester_williams_(police_officer)
050_031	Edward Fitzgerald QC, of Doughty Street Chambers in London, said that if Jemmott had been killed accidentally as a result of “pistol play”, then she would probably face a manslaughter charge.	Edward Fitzgerald QC was named Human Rights and Public Law Silk of the Year in the Chambers Bar Awards 2013,   Legal Aid Lawyer of the year in 2009, and Silk of the Year award 2005. In 1998 he was given the Times Justice Human Rights Award.	Edward Fitzgerald CBE QC is Joint Head of Doughty Street Chambers.	https://www.doughtystreet.co.uk/barristers/edward-fitzgerald-qc	doughtystreet.co.uk/barristers/edward-fitzgerald-qc
050_036	If sentenced to prison, she is likely to be sent to the country’s only jail, Hattieville.	Belize Central Prison is the sole correctional facility in the country of Belize, located in Hattieville.	Hattieville jail Belize	https://en.wikipedia.org/wiki/belize_central_prison	en.wikipedia.org/wiki/belize_central_prison
026_001	In 40 days, the herd has travelled about 250 miles from a reserve in the province of Yunnan, and was yesterday about 30 miles from Kunming, a provincial capital of 6.6 million people.	As of 2014, Kunming has a population of 6,626,000 with an urban population of 4,575,000.	kunming china	https://en.wikipedia.org/wiki/kunming	en.wikipedia.org/wiki/kunming
